Independent Variables,R Squared,Coefficients
(),0.0%,0
"('partner_a',)",70.34%,0.8387092307018512
"('partner_b',)",14.07%,0.37516150816620003
"('partner_c',)",50.44%,0.7101859769468999
"('partner_d',)",47.01%,0.685628500741036
"('partner_e',)",66.1%,0.8130170262012048
"('partner_a', 'partner_b')",74.32%,"0.7947885200303912, 0.20427993577357786"
"('partner_a', 'partner_c')",83.33%,"0.6485145690743088, 0.4075050237076023"
"('partner_a', 'partner_d')",88.12%,"0.6833446839942383, 0.4493697438153814"
"('partner_a', 'partner_e')",72.4%,"0.5556667473859025, 0.3172231551349149"
"('partner_b', 'partner_c')",59.62%,"0.3046497651061029, 0.6785271309236948"
"('partner_b', 'partner_d')",47.3%,"-0.06852146584307088, 0.7274223860174754"
"('partner_b', 'partner_e')",68.27%,"0.1539976235979125, 0.7687107474587898"
"('partner_c', 'partner_d')",57.42%,"0.45151615260287564, 0.36979584363008244"
"('partner_c', 'partner_e')",75.04%,"0.3644935142097123, 0.6046158341273"
"('partner_d', 'partner_e')",76.72%,"0.37507309377065845, 0.6273437320845254"
"('partner_a', 'partner_b', 'partner_c')",87.25%,"0.6053531493597855, 0.20275777419440177, 0.40657938646889946"
"('partner_a', 'partner_b', 'partner_d')",88.46%,"0.6836865861391049, -0.07301040544719906, 0.4937833976898284"
"('partner_a', 'partner_b', 'partner_e')",75.37%,"0.5926783518357513, 0.1809456823574489, 0.23214009803469382"
"('partner_a', 'partner_c', 'partner_d')",89.43%,"0.6400012254470218, 0.1696954102388522, 0.3456544055811237"
"('partner_a', 'partner_c', 'partner_e')",83.33%,"0.6421087338295239, 0.4059141448063204, 0.008011591400498619"
"('partner_a', 'partner_d', 'partner_e')",88.35%,"0.7787656035097575, 0.4740549431834196, -0.11650939196864357"
"('partner_b', 'partner_c', 'partner_d')",59.91%,"0.2421683876829195, 0.6045482686672151, 0.11504301705715636"
"('partner_b', 'partner_c', 'partner_e')",77.97%,"0.17913602218911415, 0.3806160118653171, 0.5438589207359239"
"('partner_b', 'partner_d', 'partner_e')",76.91%,"-0.05432723678384784, 0.40871635617401136, 0.6263195868168953"
"('partner_c', 'partner_d', 'partner_e')",78.51%,"0.20104896165381966, 0.2641666152571127, 0.567295159625963"
"('partner_a', 'partner_b', 'partner_c', 'partner_d')",89.45%,"0.6357094911731797, 0.022933751932211588, 0.1860776476741911, 0.3216907743932731"
"('partner_a', 'partner_b', 'partner_c', 'partner_e')",87.45%,"0.69057795650367, 0.2136829581026173, 0.4282725293928372, -0.1094968219763654"
"('partner_a', 'partner_b', 'partner_d', 'partner_e')",88.71%,"0.7858366360220108, -0.07650729569419461, 0.5223323997076569, -0.12470569705820465"
"('partner_a', 'partner_c', 'partner_d', 'partner_e')",89.85%,"0.7696082732622025, 0.18453678700254442, 0.3710933212853063, -0.16287936594916178"
"('partner_b', 'partner_c', 'partner_d', 'partner_e')",78.74%,"0.07502029174071971, 0.25493800604342326, 0.18798144488263713, 0.5526140145209812"
"('partner_a', 'partner_b', 'partner_c', 'partner_d', 'partner_e')",89.88%,"0.7660339640525612, 0.027879591230272616, 0.20464011692346473, 0.34228422717755513, -0.1649441146483556"
